From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg5950.48	Q6P9Z4	swissprot	fem1a zgc:63483	negative regulation of inflammatory response [GO:0050728]; positive regulation of inflammatory response [GO:0050729]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process via the C-end degron rule pathway [GO:0140627]	ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
evm.utg5950.50	P79703	swissprot	junb	regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
evm.utg5950.51	Q9QUM7	swissprot	Msh5	chiasma assembly [GO:0051026]; female gamete generation [GO:0007292]; homologous chromosome pairing at meiosis [GO:0007129]; meiosis I [GO:0007127]; mismatch repair [GO:0006298]	ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; double-stranded DNA binding [GO:0003690]; mismatched DNA binding [GO:0030983]
evm.utg5950.52	P01117	swissprot	K-RAS KIS	signal transduction [GO:0007165]	G protein activity [GO:0003925]; GTP binding [GO:0005525]; nucleotide binding [GO:0000166]
evm.utg5950.53	A0A9W9YSU3	trembl	GPR50_5 OS493_002320	G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled receptor activity [GO:0004930]
evm.utg5950.55	G5EFC3	swissprot	egl-36 R07A4.1	action potential [GO:0001508]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; protein homooligomerization [GO:0051260]	delayed rectifier potassium channel activity [GO:0005251]; monoatomic ion channel activity [GO:0005216]; voltage-gated monoatomic ion channel activity [GO:0005244]; voltage-gated potassium channel activity [GO:0005249]
evm.utg5950.56	A2RRS8	swissprot	cep78	flagellated sperm motility [GO:0030317]; intracellular protein localization [GO:0008104]; negative regulation of protein ubiquitination [GO:0031397]; protein localization to centrosome [GO:0071539]	
evm.utg5950.57	Q66IC8	swissprot	dynlt5 tctex1d1 zgc:101774	cilium assembly [GO:0060271]	dynein intermediate chain binding [GO:0045505]
evm.utg5950.58	A0A6P8ICS0	trembl	LOC116298502	protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
evm.utg5950.60	Q9D6Z0	swissprot	Alkbh7 Spata11	DNA damage response [GO:0006974]; fatty acid metabolic process [GO:0006631]; oxidative RNA demethylation [GO:0035513]; regulation of lipid storage [GO:0010883]; regulation of mitochondrial membrane permeability involved in programmed necrotic cell death [GO:1902445]	oxidative RNA demethylase activity [GO:0035515]; tRNA demethylase activity [GO:1990984]
evm.utg5950.61	F1Q8K0	swissprot	rad54l	double-strand break repair via synthesis-dependent strand annealing [GO:0045003]; reciprocal meiotic recombination [GO:0007131]	ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; DNA translocase activity [GO:0015616]
evm.utg5950.62	A0A6P8I2W6	trembl	LOC116298522		GTP binding [GO:0005525]
evm.utg5950.63	A0A6P8IBK2	trembl	LOC116298525	animal organ morphogenesis [GO:0009887]; signal transduction [GO:0007165]	BMP binding [GO:0036122]
evm.utg5950.65	Q7ZTV5	swissprot	FSHR	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; follicle-stimulating hormone signaling pathway [GO:0042699]; G protein-coupled receptor signaling pathway [GO:0007186]; hormone-mediated signaling pathway [GO:0009755]; male gonad development [GO:0008584]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]	follicle-stimulating hormone receptor activity [GO:0004963]; G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]
evm.utg5950.66	Q6VTH5	swissprot	rsph1 msap tsga2	axoneme assembly [GO:0035082]; microtubule-based process [GO:0007017]; spermatid development [GO:0007286]	
evm.utg5950.67	Q9W5N0	swissprot	Coa7 CG13865	mitochondrial respiratory chain complex IV assembly [GO:0033617]; respiratory chain complex IV assembly [GO:0008535]	protein-disulfide reductase activity [GO:0015035]
evm.utg5950.67.1.5c22f288	Q96BR5	swissprot	COA7 C1orf163 RESA1 SELRC1	mitochondrial respiratory chain complex IV assembly [GO:0033617]; respiratory chain complex IV assembly [GO:0008535]	protein binding [GO:0005515]; protein-disulfide reductase activity [GO:0015035]
evm.utg5950.68	Q8Q0U0	swissprot	MM_0045	RNA processing [GO:0006396]	RNA nuclease activity [GO:0004540]
evm.utg5950.69	Q9N2L7	swissprot	plk-2 Y71F9B.7	mitotic spindle organization [GO:0007052]; regulation of cell cycle [GO:0051726]; regulation of meiosis I [GO:0060631]	ATP binding [GO:0005524]; protein binding [GO:0005515]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
evm.utg5950.70	A4IF63	swissprot	TRIM2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of neuron apoptotic process [GO:0043523]	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
utg5950.equina_smart_1773076.mrna1	A0A9W9YDD3	trembl	RAD23B_2 OS493_025096	nucleotide-excision repair [GO:0006289]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	damaged DNA binding [GO:0003684]; polyubiquitin modification-dependent protein binding [GO:0031593]; ubiquitin binding [GO:0043130]
evm.utg5950.72	P54727	swissprot	RAD23B	chromatin remodeling [GO:0006338]; embryonic organ development [GO:0048568]; nucleotide-excision repair [GO:0006289]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]	damaged DNA binding [GO:0003684]; DNA damage sensor activity [GO:0140612]; histone H4K20 demethylase activity [GO:0035575]; polyubiquitin modification-dependent protein binding [GO:0031593]; proteasome binding [GO:0070628]; protein binding [GO:0005515]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; single-stranded DNA binding [GO:0003697]; transcription cis-regulatory region binding [GO:0000976]; ubiquitin binding [GO:0043130]
evm.utg5950.73	A0A6P8I2W1	trembl	LOC116298514		dynein intermediate chain binding [GO:0045505]
evm.utg5950.74	A0A6P8IBJ1	trembl	LOC116298507		dynein intermediate chain binding [GO:0045505]
evm.utg5950.76	Q8N7M0	swissprot	DYNLT5 TCTEX1D1		dynein intermediate chain binding [GO:0045505]; protein binding [GO:0005515]
evm.utg5950.77	Q8N7M0	swissprot	DYNLT5 TCTEX1D1		dynein intermediate chain binding [GO:0045505]; protein binding [GO:0005515]
evm.utg5950.79	E7FDB3	swissprot	nanos1 wu:fb76c12	negative regulation of translation [GO:0017148]; oogenesis [GO:0048477]	mRNA binding [GO:0003729]; translation repressor activity [GO:0030371]; zinc ion binding [GO:0008270]
evm.utg5950.81	A0A6P8I6A6	trembl	LOC116298506		dynein intermediate chain binding [GO:0045505]
evm.utg5950.83	Q9D5I4	swissprot	Dynlt5 Tctex1d1		dynein intermediate chain binding [GO:0045505]
evm.utg5950.85	Q9CQ66	swissprot	Dynlt2b Tctex1d2	cilium assembly [GO:0060271]; intraciliary retrograde transport [GO:0035721]; regulation of cilium assembly [GO:1902017]; regulation of intraciliary retrograde transport [GO:1905799]	dynein intermediate chain binding [GO:0045505]
evm.utg5950.86	A0A6P8I6B1	trembl	LOC116298512		dynein intermediate chain binding [GO:0045505]
evm.utg5950.87	Q6RI86	swissprot	Trpa1 Anktm1	calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; calcium-mediated signaling [GO:0019722]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to oxygen-containing compound [GO:1901701]; cellular response to stress [GO:0033554]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception [GO:0050974]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; system process [GO:0003008]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832]	calcium channel activity [GO:0005262]; channel activity [GO:0015267]; gated channel activity [GO:0022836]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; monoatomic ion channel activity [GO:0005216]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; protein binding [GO:0005515]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245]
utg5950.evm.utg594.47.mrna12	A0A6S7JNX5	trembl	PACLA_8A050752		nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
evm.utg5950.88	P00860	swissprot	Odc1 Odc	alpha-amino acid metabolic process [GO:1901605]; kidney development [GO:0001822]; polyamine biosynthetic process [GO:0006596]; polyamine metabolic process [GO:0006595]; positive regulation of cell population proliferation [GO:0008284]; putrescine biosynthetic process from arginine, via ornithine [GO:0033387]; putrescine biosynthetic process [GO:0009446]; regulation of protein catabolic process [GO:0042176]; response to virus [GO:0009615]; spermidine biosynthetic process [GO:0008295]; spermine biosynthetic process [GO:0006597]	ornithine decarboxylase activator activity [GO:0042978]; ornithine decarboxylase activity [GO:0004586]; protein homodimerization activity [GO:0042803]
evm.utg5950.90	Q9Y6M0	swissprot	PRSS21 ESP1 TEST1 UNQ266/PRO303	proteolysis [GO:0006508]; spermatogenesis [GO:0007283]	protein binding [GO:0005515]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]
evm.utg5950.91	A0ABN8LGN8	trembl	PEVE_00027076		calcium ion binding [GO:0005509]
evm.utg5950.95	A0ABN8MHJ6	trembl	PEVE_00035241	chromatin remodeling [GO:0006338]	histone methyltransferase activity [GO:0042054]
evm.utg5950.100	Q9UP79	swissprot	ADAMTS8 METH2	negative regulation of cell population proliferation [GO:0008285]; proteolysis [GO:0006508]	integrin binding [GO:0005178]; low-affinity phosphate transmembrane transporter activity [GO:0009673]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
evm.utg5950.101	A0A9X0CHF3	trembl	ADAMTS10_9 OS493_035310	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]
evm.utg5950.102	P97857	swissprot	Adamts1	heart trabecula formation [GO:0060347]; kidney development [GO:0001822]; negative regulation of angiogenesis [GO:0016525]; ovulation from ovarian follicle [GO:0001542]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of neuron projection development [GO:0010976]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; proteolysis [GO:0006508]	endopeptidase activity [GO:0004175]; heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; protein binding [GO:0005515]; zinc ion binding [GO:0008270]
evm.utg5950.102.1.5c22f288	P97857	swissprot	Adamts1	heart trabecula formation [GO:0060347]; kidney development [GO:0001822]; negative regulation of angiogenesis [GO:0016525]; ovulation from ovarian follicle [GO:0001542]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of neuron projection development [GO:0010976]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; proteolysis [GO:0006508]	endopeptidase activity [GO:0004175]; heparin binding [GO:0008201]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; protein binding [GO:0005515]; zinc ion binding [GO:0008270]
evm.utg5950.104	Q9UKP5	swissprot	ADAMTS6	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]
evm.utg5950.107	Q6NRK1	swissprot	ssx2ip-a ssx2ip	centrosome cycle [GO:0007098]; intraciliary transport involved in cilium assembly [GO:0035735]	microtubule minus-end binding [GO:0051011]
evm.utg5950.108	A0AAD9QL30	trembl	P5673_013642	peptide metabolic process [GO:0006518]; protein processing [GO:0016485]; proteolysis [GO:0006508]	metallocarboxypeptidase activity [GO:0004181]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270]
evm.utg5950.111	Q6GQT0	swissprot	Cdc14a	cilium assembly [GO:0060271]; microtubule cytoskeleton organization [GO:0000226]; positive regulation of cytokinesis [GO:0032467]; regulation of exit from mitosis [GO:0007096]; sensory perception of sound [GO:0007605]	protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]
evm.utg5950.112	Q8LGG8	swissprot	At3g01520 F4P13.7		AMP binding [GO:0016208]
evm.utg5960.3	A0ABN8P356	trembl	PLOB_00035069		zinc ion binding [GO:0008270]
evm.utg5960.4	Q9Z129	swissprot	Recql Recql1	double-strand break repair via homologous recombination [GO:0000724]; replication fork processing [GO:0031297]	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA/DNA annealing activity [GO:1990814]; DNA helicase activity [GO:0003678]; double-stranded DNA helicase activity [GO:0036121]; four-way junction helicase activity [GO:0009378]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]
